mode,io_threads,block_size,dataset_size,ranks,compute_time,read_size,raw_read_time,metadata_time,raw_read_rate,observed_read_rate
CPU,4,131072,20GB,4,4s,"20.000 GB",7.719,0.001,"2.591 GB/s ","2.590 GB/s"
CPU,4,262144,1GB,4,4s,"1.000 GB",0.712,0.001,"1.403 GB/s ","1.400 GB/s"
CPU,4,262144,5GB,4,4s,"5.000 GB",2.148,0.001,"2.327 GB/s ","2.325 GB/s"
CPU,4,262144,10GB,4,4s,"10.000 GB",3.998,0.001,"2.501 GB/s ","2.499 GB/s"
CPU,4,262144,20GB,4,4s,"20.000 GB",7.564,0.001,"2.644 GB/s ","2.644 GB/s"
CPU,4,524288,1GB,4,4s,"1.000 GB",0.717,0.009,"1.395 GB/s ","1.353 GB/s"
CPU,4,524288,5GB,4,4s,"5.000 GB",2.855,0.223,"1.751 GB/s ","1.624 GB/s"
CPU,4,524288,10GB,4,4s,"10.000 GB",4.508,0.005,"2.218 GB/s ","2.215 GB/s"
CPU,4,524288,20GB,4,4s,"20.000 GB",7.675,0.012,"2.605 GB/s ","2.602 GB/s"
CPU,4,1048576,1GB,4,4s,"1.000 GB",0.727,0.001,"1.374 GB/s ","1.371 GB/s"
CPU,4,1048576,5GB,4,4s,"5.000 GB",2.289,0.001,"2.184 GB/s ","2.183 GB/s"
CPU,4,1048576,10GB,4,4s,"10.000 GB",4.526,0.109,"2.209 GB/s ","2.156 GB/s"
CPU,4,1048576,20GB,4,4s,"20.000 GB",7.721,0.001,"2.590 GB/s ","2.590 GB/s"
CPU,4,2097152,1GB,4,4s,"1.000 GB",0.639,0.001,"1.565 GB/s ","1.562 GB/s"
CPU,4,2097152,5GB,4,4s,"5.000 GB",2.381,0.001,"2.100 GB/s ","2.098 GB/s"
CPU,4,2097152,10GB,4,4s,"10.000 GB",4.564,0.001,"2.190 GB/s ","2.189 GB/s"
CPU,4,2097152,20GB,4,4s,"20.000 GB",8.387,0.120,"2.384 GB/s ","2.351 GB/s"
CPU,4,4194304,1GB,4,4s,"1.000 GB",0.755,0.001,"1.324 GB/s ","1.290 GB/s"
CPU,4,4194304,5GB,4,4s,"5.000 GB",2.516,0.001,"1.987 GB/s ","1.986 GB/s"
CPU,4,4194304,10GB,4,4s,"10.000 GB",4.418,0.001,"2.263 GB/s ","2.262 GB/s"
CPU,4,4194304,20GB,4,4s,"20.000 GB",8.522,0.001,"2.347 GB/s ","2.346 GB/s"
CPU,8,65536,1GB,8,4s,"1.000 GB",1.731,0.091,"591.641 MB/s ","561.667 MB/s"
CPU,8,65536,5GB,8,4s,"5.000 GB",3.235,0.001,"1.545 GB/s ","1.545 GB/s"
CPU,8,65536,10GB,8,4s,"10.000 GB",6.340,0.320,"1.577 GB/s ","1.496 GB/s"
CPU,8,65536,20GB,8,4s,"20.000 GB",12.900,0.208,"1.550 GB/s ","1.525 GB/s"
CPU,8,131072,1GB,8,4s,"1.000 GB",2.270,0.425,"451.176 MB/s ","379.757 MB/s"
CPU,8,131072,5GB,8,4s,"5.000 GB",3.038,0.257,"1.646 GB/s ","1.504 GB/s"
CPU,8,131072,10GB,8,4s,"10.000 GB",7.243,0.149,"1.380 GB/s ","1.333 GB/s"
CPU,8,131072,20GB,8,4s,"20.000 GB",12.731,0.145,"1.570 GB/s ","1.552 GB/s"
CPU,8,262144,1GB,8,4s,"1.000 GB",2.040,0.113,"501.994 MB/s ","466.282 MB/s"
CPU,8,262144,5GB,8,4s,"5.000 GB",3.624,0.173,"1.379 GB/s ","1.312 GB/s"
CPU,8,262144,10GB,8,4s,"10.000 GB",8.329,0.061,"1.200 GB/s ","1.178 GB/s"
CPU,8,262144,20GB,8,4s,"20.000 GB",12.267,0.244,"1.630 GB/s ","1.592 GB/s"
CPU,8,524288,1GB,8,4s,"1.000 GB",1.672,0.187,"612.565 MB/s ","527.835 MB/s"
CPU,8,524288,5GB,8,4s,"5.000 GB",3.823,0.121,"1.308 GB/s ","1.239 GB/s"
CPU,8,524288,10GB,8,4s,"10.000 GB",7.132,0.001,"1.401 GB/s ","1.397 GB/s"
CPU,8,524288,20GB,8,4s,"20.000 GB",12.043,0.192,"1.660 GB/s ","1.622 GB/s"
CPU,8,1048576,1GB,8,4s,"1.000 GB",2.383,0.001,"429.785 MB/s ","429.441 MB/s"
CPU,8,1048576,5GB,8,4s,"5.000 GB",3.962,0.153,"1.262 GB/s ","1.214 GB/s"
CPU,8,1048576,10GB,8,4s,"10.000 GB",6.235,0.076,"1.604 GB/s ","1.561 GB/s"
CPU,8,1048576,20GB,8,4s,"20.000 GB",11.028,0.192,"1.813 GB/s ","1.782 GB/s"
CPU,8,2097152,1GB,8,4s,"1.000 GB",2.108,0.268,"485.874 MB/s ","419.032 MB/s"
CPU,8,2097152,5GB,8,4s,"5.000 GB",4.528,0.464,"1.104 GB/s ","1006.335 MB/s"
