mode,io_threads,block_size,dataset_size,ranks,compute_time,write_size,raw_write_time,metadata_time,h5fcreate_time,h5fflush_time,h5fclose_time,completion_time,raw_write_rate,observed_write_rate
GPU,16,65536,10GB,16,4s,"10.000 GB",12.371,0.001,0.375,1.555,0.544,18.980,"827.716 MB/s ","683.599 MB/s"
GPU,16,65536,20GB,16,4s,"20.000 GB",19.068,0.001,0.922,1.277,0.460,25.942,"1.049 GB/s ","933.351 MB/s"
GPU,16,131072,1GB,16,4s,"1.000 GB",5.379,0.001,0.454,0.696,0.536,11.102,"190.357 MB/s ","144.189 MB/s"
GPU,16,131072,5GB,16,4s,"5.000 GB",8.323,0.001,0.622,2.338,0.520,15.846,"615.177 MB/s ","432.217 MB/s"
GPU,16,131072,10GB,16,4s,"10.000 GB",11.331,0.001,1.244,1.134,0.467,18.264,"903.721 MB/s ","717.900 MB/s"
GPU,16,131072,20GB,16,4s,"20.000 GB",19.051,0.001,0.570,2.063,0.556,26.402,"1.050 GB/s ","914.217 MB/s"
GPU,16,262144,1GB,16,4s,"1.000 GB",5.167,0.001,0.445,0.698,0.420,10.817,"198.178 MB/s ","150.217 MB/s"
GPU,16,262144,5GB,16,4s,"5.000 GB",7.659,0.001,0.679,2.484,0.552,15.471,"668.466 MB/s ","446.335 MB/s"
GPU,16,262144,10GB,16,4s,"10.000 GB",11.524,0.001,1.369,1.382,0.444,18.825,"888.588 MB/s ","690.743 MB/s"
GPU,16,262144,20GB,16,4s,"20.000 GB",19.099,0.001,0.407,1.996,0.512,26.222,"1.047 GB/s ","921.591 MB/s"
GPU,16,524288,1GB,16,4s,"1.000 GB",5.543,0.001,0.381,0.737,0.440,11.181,"184.730 MB/s ","142.594 MB/s"
GPU,16,524288,5GB,16,4s,"5.000 GB",8.159,0.001,0.746,2.675,0.456,16.125,"627.510 MB/s ","422.266 MB/s"
GPU,16,524288,10GB,16,4s,"10.000 GB",11.807,0.001,0.361,1.919,0.508,18.704,"867.280 MB/s ","696.398 MB/s"
GPU,16,524288,20GB,16,4s,"20.000 GB",18.535,0.001,0.632,1.994,0.472,25.831,"1.078 GB/s ","938.100 MB/s"
GPU,16,1048576,1GB,16,4s,"1.000 GB",5.383,0.001,0.441,0.764,0.508,11.157,"190.220 MB/s ","143.082 MB/s"
GPU,16,1048576,5GB,16,4s,"5.000 GB",8.167,0.001,0.994,2.526,0.468,16.215,"626.885 MB/s ","419.154 MB/s"
GPU,16,1048576,10GB,16,4s,"10.000 GB",10.815,0.001,0.692,1.956,0.604,18.168,"946.846 MB/s ","722.748 MB/s"
GPU,16,1048576,20GB,16,4s,"20.000 GB",19.303,0.000,1.656,2.296,0.520,27.907,"1.035 GB/s ","856.647 MB/s"
GPU,16,2097152,1GB,16,4s,"1.000 GB",5.199,0.001,0.618,0.918,0.604,11.365,"196.975 MB/s ","139.043 MB/s"
GPU,16,2097152,5GB,16,4s,"5.000 GB",8.395,0.001,1.128,2.395,0.405,16.399,"609.861 MB/s ","412.925 MB/s"
GPU,16,2097152,10GB,16,4s,"10.000 GB",11.191,0.001,1.470,1.710,0.452,18.910,"914.996 MB/s ","686.805 MB/s"
GPU,16,2097152,20GB,16,4s,"20.000 GB",18.661,0.001,2.878,1.585,0.464,27.754,"1.071 GB/s ","862.182 MB/s"
GPU,16,4194304,1GB,16,4s,"1.000 GB",5.488,0.001,0.431,0.986,0.600,11.583,"186.602 MB/s ","135.029 MB/s"
GPU,16,4194304,5GB,16,4s,"5.000 GB",7.723,0.001,0.753,2.466,0.564,15.584,"662.926 MB/s ","441.975 MB/s"
GPU,16,4194304,10GB,16,4s,"10.000 GB",11.541,0.001,1.543,1.577,0.664,19.431,"887.304 MB/s ","663.598 MB/s"
GPU,16,4194304,20GB,16,4s,"20.000 GB",18.784,0.001,2.939,2.906,0.492,29.335,"1.064 GB/s ","808.370 MB/s"
CPU,1,65536,1GB,1,4s,"1.000 GB",0.505,0.001,0.002,0.507,0.000,5.038,"1.981 GB/s ","986.150 MB/s"
CPU,1,65536,5GB,1,4s,"5.000 GB",2.469,0.001,0.002,1.655,0.000,8.259,"2.025 GB/s ","1.174 GB/s"
CPU,1,65536,10GB,1,4s,"10.000 GB",5.240,0.001,0.002,1.332,0.000,10.876,"1.908 GB/s ","1.454 GB/s"
CPU,1,65536,20GB,1,4s,"20.000 GB",10.442,0.001,0.002,1.723,0.000,16.780,"1.915 GB/s ","1.564 GB/s"
CPU,1,131072,1GB,1,4s,"1.000 GB",0.502,0.001,0.002,0.497,0.000,5.025,"1.991 GB/s ","999.021 MB/s"
CPU,1,131072,5GB,1,4s,"5.000 GB",2.469,0.001,0.002,1.648,0.000,8.253,"2.024 GB/s ","1.175 GB/s"
CPU,1,131072,10GB,1,4s,"10.000 GB",5.118,0.001,0.002,2.461,0.000,11.876,"1.953 GB/s ","1.270 GB/s"
CPU,1,131072,20GB,1,4s,"20.000 GB",10.520,0.001,0.002,2.327,0.000,17.454,"1.900 GB/s ","1.486 GB/s"
CPU,1,262144,1GB,1,4s,"1.000 GB",0.503,0.001,0.002,0.504,0.000,5.034,"1.987 GB/s ","990.582 MB/s"
CPU,1,262144,5GB,1,4s,"5.000 GB",2.468,0.001,0.002,1.653,0.000,8.258,"2.025 GB/s ","1.174 GB/s"
CPU,1,262144,10GB,1,4s,"10.000 GB",5.132,0.001,0.002,1.632,0.000,11.065,"1.948 GB/s ","1.415 GB/s"
CPU,1,262144,20GB,1,4s,"20.000 GB",10.405,0.001,0.002,1.967,0.000,16.795,"1.922 GB/s ","1.562 GB/s"
CPU,1,524288,1GB,1,4s,"1.000 GB",0.501,0.001,0.002,0.519,0.000,5.046,"1.997 GB/s ","978.761 MB/s"
CPU,1,524288,5GB,1,4s,"5.000 GB",2.462,0.001,0.002,1.669,0.000,8.269,"2.030 GB/s ","1.171 GB/s"
CPU,1,524288,10GB,1,4s,"10.000 GB",5.097,0.001,0.002,2.378,0.000,11.771,"1.962 GB/s ","1.286 GB/s"
CPU,1,524288,20GB,1,4s,"20.000 GB",10.438,0.001,0.002,2.297,0.000,17.350,"1.915 GB/s ","1.498 GB/s"
CPU,1,1048576,1GB,1,4s,"1.000 GB",0.501,0.001,0.002,0.494,0.000,5.021,"1.994 GB/s ","1002.470 MB/s"
CPU,1,1048576,5GB,1,4s,"5.000 GB",2.461,0.001,0.002,1.654,0.000,8.253,"2.031 GB/s ","1.175 GB/s"
CPU,1,1048576,10GB,1,4s,"10.000 GB",5.122,0.001,0.002,1.575,0.000,10.999,"1.952 GB/s ","1.428 GB/s"
CPU,1,1048576,20GB,1,4s,"20.000 GB",10.532,0.001,0.002,1.760,0.000,16.909,"1.898 GB/s ","1.549 GB/s"
CPU,1,2097152,1GB,1,4s,"1.000 GB",0.504,0.001,0.002,0.500,0.000,5.030,"1.984 GB/s ","994.341 MB/s"
CPU,1,2097152,5GB,1,4s,"5.000 GB",2.471,0.001,0.002,1.658,0.000,8.266,"2.022 GB/s ","1.172 GB/s"
CPU,1,2097152,10GB,1,4s,"10.000 GB",5.092,0.001,0.002,2.309,0.000,11.697,"1.963 GB/s ","1.299 GB/s"
CPU,1,2097152,20GB,1,4s,"20.000 GB",9.648,0.001,0.002,2.336,0.000,16.570,"2.072 GB/s ","1.591 GB/s"
CPU,1,4194304,1GB,1,4s,"1.000 GB",0.504,0.001,0.002,0.509,0.000,5.039,"1.984 GB/s ","985.714 MB/s"
CPU,1,4194304,5GB,1,4s,"5.000 GB",2.473,0.001,0.002,1.672,0.000,8.283,"2.021 GB/s ","1.167 GB/s"
CPU,1,4194304,10GB,1,4s,"10.000 GB",5.132,0.001,0.002,1.871,0.000,11.304,"1.948 GB/s ","1.368 GB/s"
CPU,1,4194304,20GB,1,4s,"20.000 GB",10.524,0.001,0.002,1.739,0.000,16.881,"1.899 GB/s ","1.552 GB/s"
CPU,2,65536,1GB,2,4s,"1.000 GB",0.444,0.001,0.043,0.498,0.000,5.000,"2.251 GB/s ","1.000 GB/s"
CPU,2,65536,5GB,2,4s,"5.000 GB",2.137,0.001,0.053,1.672,0.000,7.939,"2.339 GB/s ","1.269 GB/s"
CPU,2,65536,10GB,2,4s,"10.000 GB",4.472,0.001,0.056,2.465,0.000,11.160,"2.235 GB/s ","1.396 GB/s"
CPU,2,65536,20GB,2,4s,"20.000 GB",8.828,0.001,0.002,2.317,0.000,15.479,"2.265 GB/s ","1.742 GB/s"
CPU,2,131072,1GB,2,4s,"1.000 GB",0.444,0.001,0.043,0.508,0.000,5.011,"2.249 GB/s ","1012.560 MB/s"
CPU,2,131072,5GB,2,4s,"5.000 GB",2.153,0.001,0.045,1.652,0.000,7.925,"2.322 GB/s ","1.273 GB/s"
CPU,2,131072,10GB,2,4s,"10.000 GB",4.409,0.001,0.046,2.433,0.000,11.054,"2.268 GB/s ","1.417 GB/s"
CPU,2,131072,20GB,2,4s,"20.000 GB",8.740,0.001,0.060,2.320,0.000,15.451,"2.288 GB/s ","1.746 GB/s"
CPU,2,262144,1GB,2,4s,"1.000 GB",0.444,0.001,0.044,0.508,0.000,5.010,"2.251 GB/s ","1013.683 MB/s"
CPU,2,262144,5GB,2,4s,"5.000 GB",2.109,0.001,0.048,1.648,0.000,7.882,"2.370 GB/s ","1.288 GB/s"
CPU,2,262144,10GB,2,4s,"10.000 GB",4.519,0.001,0.053,2.366,0.000,11.103,"2.213 GB/s ","1.407 GB/s"
CPU,2,262144,20GB,2,4s,"20.000 GB",8.706,0.001,0.002,2.344,0.000,15.380,"2.297 GB/s ","1.757 GB/s"
CPU,2,524288,1GB,2,4s,"1.000 GB",0.445,0.001,0.044,0.486,0.000,4.989,"2.248 GB/s ","1.011 GB/s"
CPU,2,524288,5GB,2,4s,"5.000 GB",2.113,0.001,0.043,1.667,0.000,7.901,"2.365 GB/s ","1.281 GB/s"
CPU,2,524288,10GB,2,4s,"10.000 GB",4.534,0.001,0.005,1.655,0.000,10.362,"2.205 GB/s ","1.571 GB/s"
CPU,2,524288,20GB,2,4s,"20.000 GB",8.500,0.001,0.026,2.228,0.000,15.084,"2.353 GB/s ","1.804 GB/s"
CPU,2,1048576,1GB,2,4s,"1.000 GB",0.439,0.001,0.023,0.476,0.000,4.952,"2.278 GB/s ","1.050 GB/s"
CPU,2,1048576,5GB,2,4s,"5.000 GB",2.137,0.001,0.046,1.698,0.000,7.957,"2.339 GB/s ","1.263 GB/s"
CPU,2,1048576,10GB,2,4s,"10.000 GB",4.430,0.001,0.048,1.759,0.000,10.405,"2.257 GB/s ","1.561 GB/s"
CPU,2,1048576,20GB,2,4s,"20.000 GB",8.510,0.001,0.059,2.294,0.000,15.191,"2.350 GB/s ","1.787 GB/s"
CPU,2,2097152,1GB,2,4s,"1.000 GB",0.445,0.001,0.045,0.279,0.000,4.783,"2.247 GB/s ","1.276 GB/s"
